No files changed, compilation skipped

Ran 1 test for test/PointsCalculations.t.sol:KlimaFairLaunchStakingPointsCalculationsTest
[PASS] test_PrintPointsForEachMultiplierOver90Days() (gas: 6419085)
Logs:
  user 0
  stake start timestamp: 1743439841
  User Points for 90 days, Stake Amount: 10000 KLIMA_V0, Growth Rate: 274
  day,points
  0, 20000000000000000000000
  1, 20054875144616409120000
  2, 20109900853307651840000
  3, 20165077539184997180000
  4, 20220405616493191200000
  5, 20275885500613566960000
  6, 20331517608067163100000
  7, 20387302356517850820000
  8, 20443240164775469580000
  9, 20499331452798971460000
  10, 20555576641699573860000
  11, 20611976153743921160000
  12, 20668530412357254860000
  13, 20725239842126592580000
  14, 20782104868803915660000
  15, 20839125919309365420000
  16, 20896303421734448480000
  17, 20953637805345250620000
  18, 21011129500585659540000
  19, 21068778939080596440000
  20, 21126586553639256580000
  21, 21184552778258358520000
  22, 21242678048125402500000
  23, 21300962799621937540000
  24, 21359407470326837800000
  25, 21418012499019587540000
  26, 21476778325683575460000
  27, 21535705391509397820000
  28, 21594794138898170820000
  29, 21654045011464851900000
  30, 21713458454041570220000
  31, 21773034912680966340000
  32, 21832774834659541000000
  33, 21892678668481013020000
  34, 21952746863879686560000
  35, 22012979871823827560000
  36, 22073378144519049360000
  37, 22133942135411707740000
  38, 22194672299192305180000
  39, 22255569091798904560000
  40, 22316632970420552060000
  41, 22377864393500709660000
  42, 22439263820740696860000
  43, 22500831713103142020000
  44, 22562568532815443000000
  45, 22624474743373237480000
  46, 22686550809543882600000
  47, 22748797197369944300000
  48, 22811214374172696240000
  49, 22873802808555628120000
  50, 22936562970407963880000
  51, 22999495330908189460000
  52, 23062600362527590140000
  53, 23125878539033797700000
  54, 23189330335494347300000
  55, 23252956228280244080000
  56, 23316756695069539580000
  57, 23380732214850917900000
  58, 23444883267927291900000
  59, 23509210335919408960000
  60, 23573713901769466860000
  61, 23638394449744739540000
  62, 23703252465441212820000
  63, 23768288435787229960000
  64, 23833502849047147420000
  65, 23898896194825000480000
